author,updated_at,like_count,text,video_id,public
@dannyr9842,2024-04-08T00:40:08Z,0,"The bad news is Rolly lost his WBA title belt.
The good news is he'll be getting the construction utility belt once worn by the construction worker of THE VILLAGE PEOPLE  !😅",cQOq2Ih36EU,True
@humanspiderdotcom,2024-04-08T00:32:00Z,0,"My top Mexican Sports hero.
1.Dela Hoya
2.Checo Perez
3. Pitbull Cruz

Congratz pitbull from Philippines.",cQOq2Ih36EU,True
@VincentBianchi,2024-04-07T23:57:35Z,0,What a fucking weapon of destruction,cQOq2Ih36EU,True
@richardbillote7403,2024-04-07T23:37:22Z,0,Shit Romero is like a breakfast to isaan his punch is like mike Tyson,cQOq2Ih36EU,True
@DJohnson-bw6md,2024-04-07T22:55:04Z,1,How the hell was pitbull the underdawg I missed money on that,cQOq2Ih36EU,True
@tanielamatai2261,2024-04-07T22:01:04Z,0,mahn he was really a pitbull...that name really matches the way he fights....congrats Isaac Cruz..,cQOq2Ih36EU,True
@pablomartinez2373,2024-04-07T21:32:15Z,0,Es bien desorganizado no tiene nada de estilo solo tiene golpes de poder pero necesita organizarse mucho mas si quiere seguir ganando peleas.,cQOq2Ih36EU,True
@romeosly4341,2024-04-07T21:31:17Z,0,"How in the world is Romero a Pro, absolutely garbage!",cQOq2Ih36EU,True
@matthewmatehe2548,2024-04-07T21:16:53Z,0,Rolly got pumped!,cQOq2Ih36EU,True
@torukmato9765,2024-04-07T20:27:07Z,0,Porqué el árbitro intervino tan pronto?🤔hum…esto no huele bien,cQOq2Ih36EU,True
@mayhem1974,2024-04-07T20:11:30Z,0,You know Cruz is tough because he survived Tank Davis and gave him a hard win!,cQOq2Ih36EU,True
@technotrance011,2024-04-07T20:09:13Z,0,Cruz eating Haymakers from Davis and Romero and still had that clean face. I think his face is his defense armor 😂,cQOq2Ih36EU,True
@genesisz3419,2024-04-07T19:57:28Z,0,"Cruz is crazy fun to watch reminds me so much of mike tyson, crazy how no one talks about how cruz is using a style of boxing that is so underused and considered  underpowered, peakaboo is such fun way to box.",cQOq2Ih36EU,True
@R3DOPS_96,2024-04-07T19:29:03Z,0,Retire now lol,cQOq2Ih36EU,True
@holyghostflame6,2024-04-07T19:14:24Z,0,"rolly is garbage.... a big mouth and no heart... now, if he only had a brain he would never fight again... Cruz fought well but TANK turned rolly head around like Linda Blair.🥊🤯",cQOq2Ih36EU,True
@aljunecabingas1693,2024-04-07T18:13:45Z,0,Tqng inang lag yan!!,cQOq2Ih36EU,True
@adedayoalliu5268,2024-04-07T17:38:06Z,0,"This isn't a fight, it's a beat down 😅",cQOq2Ih36EU,True
@dik2bik,2024-04-07T17:36:02Z,1,why ref gotta ruin the fun,cQOq2Ih36EU,True
@henryruiz5891,2024-04-07T17:28:53Z,0,Aztec calendar on mi compa CRUZ VIVA MEXICO HIJOS DE LA CHINGADA ARRIBA GUANAJUATO,cQOq2Ih36EU,True
@p.wildtv,2024-04-07T17:20:17Z,0,And this why tank will never ever fight pit bull again. He don’t like people that keeps coming and can take them punches,cQOq2Ih36EU,True
@qf9003,2024-04-07T16:43:08Z,0,Hahaha keep barking. Never mess with a Mexican 🤣🤣🤣,cQOq2Ih36EU,True
@adrianro1238,2024-04-07T16:24:26Z,0,"No body fucks whit México, even Chuck norris",cQOq2Ih36EU,True
